X,Y,Count,Date,Time,Lat,Long,Speed,Altitude,GSR
-2447.13636610853,6718221.91168246,"4907",2/6/2018,15:35:23,51.544731,-0.021983,4.93,7.9,"333"
-2445.02129578346,6718222.62767458,"4908",2/6/2018,15:35:24,51.544735,-0.021964,4.93,7.9,"324"
-2445.02129578346,6718222.62767458,"4909",2/6/2018,15:35:24,51.544735,-0.021964,4.93,8,"330"
-2442.90622545839,6718223.34366677,"4910",2/6/2018,15:35:25,51.544739,-0.021945,5.3,8,"328"
-2442.90622545839,6718223.34366677,"4911",2/6/2018,15:35:25,51.544739,-0.021945,5.3,8,"332"
-2440.79115513332,6718224.05965903,"4912",2/6/2018,15:35:26,51.544743,-0.021926,4.87,8,"325"
-2440.79115513332,6718224.05965903,"4913",2/6/2018,15:35:26,51.544743,-0.021926,4.87,8,"333"
-2438.78740429904,6718224.59665326,"4914",2/6/2018,15:35:27,51.544746,-0.021908,4.93,8,"324"
-2438.78740429904,6718224.59665326,"4915",2/6/2018,15:35:27,51.544746,-0.021908,4.93,8,"330"
-2436.78365346476,6718225.31264562,"4916",2/6/2018,15:35:28,51.54475,-0.02189,4.83,8,"324"
-2436.78365346476,6718225.31264562,"4917",2/6/2018,15:35:28,51.54475,-0.02189,4.83,7.8,"334"
-2434.66858313969,6718226.74463054,"4918",2/6/2018,15:35:29,51.544758,-0.021871,4.8,7.8,"324"
-2434.66858313969,6718226.74463054,"4919",2/6/2018,15:35:29,51.544758,-0.021871,4.8,7.9,"331"
-2432.44219332382,6718227.46062309,"4920",2/6/2018,15:35:30,51.544762,-0.021851,5.48,7.9,"325"
-2432.44219332382,6718227.46062309,"4921",2/6/2018,15:35:30,51.544762,-0.021851,5.48,7.9,"333"
-2430.99503994351,6718227.46062309,"4922",2/6/2018,15:35:31,51.544762,-0.021838,3.02,7.9,"330"
-2430.99503994351,6718227.46062309,"4923",2/6/2018,15:35:31,51.544762,-0.021838,3.02,7.6,"331"
-2429.5478865632,6718227.99761754,"4924",2/6/2018,15:35:32,51.544765,-0.021825,4.06,7.6,"323"
-2429.5478865632,6718227.99761754,"4925",2/6/2018,15:35:32,51.544765,-0.021825,4.06,7.8,"332"
-2427.32149674733,6718229.42960293,"4926",2/6/2018,15:35:33,51.544773,-0.021805,4.59,7.8,"326"
-2427.32149674733,6718229.42960293,"4927",2/6/2018,15:35:33,51.544773,-0.021805,4.59,8,"330"
-2425.09510693146,6718230.14559572,"4928",2/6/2018,15:35:34,51.544777,-0.021785,4.37,8,"326"
-2425.09510693146,6718230.14559572,"4929",2/6/2018,15:35:34,51.544777,-0.021785,4.37,8.2,"335"
-2422.98003660639,6718230.86158857,"4930",2/6/2018,15:35:35,51.544781,-0.021766,4.7,8.2,"324"
-2422.98003660639,6718230.86158857,"4931",2/6/2018,15:35:35,51.544781,-0.021766,4.7,8.2,"330"
-2420.86496628132,6718231.57758148,"4932",2/6/2018,15:35:36,51.544785,-0.021747,3.59,8.2,"328"
-2420.86496628132,6718231.57758148,"4933",2/6/2018,15:35:36,51.544785,-0.021747,3.59,8,"332"
-2419.19517391942,6718232.11457621,"4934",2/6/2018,15:35:37,51.544788,-0.021732,3.82,8,"325"
-2419.19517391942,6718232.11457621,"4935",2/6/2018,15:35:37,51.544788,-0.021732,3.82,8,"333"
-2417.19142308514,6718232.83056923,"4936",2/6/2018,15:35:38,51.544792,-0.021714,5.02,8,"326"
-2417.19142308514,6718232.83056923,"4937",2/6/2018,15:35:38,51.544792,-0.021714,5.02,7.9,"332"
-2415.29899174166,6718233.54656232,"4938",2/6/2018,15:35:39,51.544796,-0.021697,4.41,7.9,"326"
-2415.29899174166,6718233.54656232,"4939",2/6/2018,15:35:39,51.544796,-0.021697,4.41,7.9,"333"
-2413.40656039817,6718234.26255547,"4940",2/6/2018,15:35:40,51.5448,-0.02168,5.02,7.9,"322"
