X,Y,index,lat,long,speed,date,time,air_val,dust,gsr
-14684.3766695223,6714842.05631079,"228",51.525845,-0.131912,2.44,"180124","18525100","23",0.62,"303"
-14684.4879890131,6714844.38232013,"229",51.525858,-0.131913,3.13,"180124","18525200","23",0.62,"303"
-14683.8200720683,6714846.52940627,"230",51.52587,-0.131907,2.88,"180124","18525300","23",0.62,"305"
-14682.8181966512,6714848.67649297,"231",51.525882,-0.131898,3.21,"180124","18525400","23",0.62,"304"
-14681.5936822525,6714849.75003653,"232",51.525888,-0.131887,3.99,"180124","18525500","23",0.62,"410"
-14679.9238898906,6714851.89712408,"233",51.5259,-0.131872,2.24,"180124","18525600","30",0.62,"468"
-14679.144653455,6714854.93883242,"234",51.525917,-0.131865,4.05,"180124","18525700","29",0.62,"305"
-14678.9220144734,6714861.20117667,"235",51.525952,-0.131863,5.2,"180124","18525900","23",0.62,"305"
-14678.0314585471,6714863.169343,"236",51.525963,-0.131855,5.82,"180124","18530000","23",0.62,"304"
-14678.0314585471,6714864.95858554,"237",51.525973,-0.131855,5.82,"180124","18530100","23",0.62,"302"
-14675.8050687312,6714868.89492049,"238",51.525995,-0.131835,5.82,"180124","18530200","23",0.62,"301"
-14671.6862475719,6714871.04201309,"239",51.526007,-0.131798,7.85,"180124","18530300","23",0.62,"303"
-14666.5655509954,6714873.0101818,"240",51.526018,-0.131752,8.19,"180124","18530400","23",0.62,"298"
-14660.4429790017,6714874.62050201,"241",51.526027,-0.131697,9.28,"180124","18530500","23",0.62,"296"
-14655.2109629345,6714877.30436973,"242",51.526042,-0.13165,10.17,"180124","18530600","22",0.62,"487"
-14663.3372857624,6714879.09361536,"243",51.526052,-0.131723,10.96,"180124","18530700","35",0.62,"387"
-14670.4617331731,6714879.98823833,"244",51.526057,-0.131787,9.71,"180124","18530800","29",0.62,"495"
-14676.1390272036,6714881.06178602,"245",51.526063,-0.131838,8.37,"180124","18530900","40",0.62,"299"
-14679.701250909,6714882.3142585,"246",51.52607,-0.13187,6.94,"180124","18531000","22",0.62,"300"
-14679.4786119274,6714885.89275237,"247",51.52609,-0.131868,6.94,"180124","18531200","23",0.62,"298"
-14676.6956246576,6714885.89275237,"248",51.52609,-0.131843,6.61,"180124","18531300","23",0.62,"297"
-14674.6918738233,6714885.53490291,"249",51.526088,-0.131825,6.09,"180124","18531400","22",0.62,"299"
-14672.688122989,6714884.64027933,"250",51.526083,-0.131807,5.9,"180124","18531500","23",0.62,"302"
-14681.3710432709,6714883.20888182,"251",51.526075,-0.131885,5.81,"180124","18531600","23",0.62,"299"
-14684.7106279947,6714881.06178602,"252",51.526063,-0.131915,4.72,"180124","18531700","23",0.62,"300"
-14688.2728517001,6714879.63038913,"253",51.526055,-0.131947,3.88,"180124","18531800","23",0.62,"302"
-14691.9463948962,6714877.48329427,"254",51.526043,-0.13198,3.46,"180124","18531900","23",0.62,"307"
-14702.7443855032,6714877.84114338,"255",51.526045,-0.132077,3.84,"180124","18532000","23",0.62,"471"
-14712.2065422206,6714877.30436973,"256",51.526042,-0.132162,4.13,"180124","18532100","34",0.62,"304"
